7.026223552552463003e-01,3.275694762634230317e-01,-1.080289932293546418e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.537511472860982886e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.026223552552463003e-01,3.275694762634230317e-01,-5.036418279140763010e-01,0.000000000000000000e+00,-1.537511472860982886e+00
-7.026223552552463003e-01,-3.275694762634230317e-01,1.080289932293546418e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.537511472860982886e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.026223552552463003e-01,-3.275694762634230317e-01,5.036418279140763010e-01,0.000000000000000000e+00,1.537511472860982886e+00
6.909735427310023104e-01,3.227917861950435618e-01,1.521171963327523358e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.201490895462142605e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.909735427310023104e-01,3.227917861950435618e-01,7.106231784383509886e-02,0.000000000000000000e+00,2.201490895462142605e-01
-6.909735427310023104e-01,-3.227917861950435618e-01,-1.521171963327523358e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.201490895462142605e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.909735427310023104e-01,-3.227917861950435618e-01,-7.106231784383509886e-02,0.000000000000000000e+00,-2.201490895462142605e-01
6.963399028796708468e-01,3.314166266978821884e-01,-8.426095494570144950e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.210054954444595987e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.963399028796708468e-01,3.314166266978821884e-01,-4.010323311210874930e-01,0.000000000000000000e+00,-1.210054954444595987e+00
